(50000, 7)
(50000, 5)
char_to_id:  {'6': 0, '2': 1, '-': 2, '9': 3, ' ': 4, '_': 5, '3': 6, '0': 7, '7': 8, '4': 9, '1': 10, '+': 11, '8': 12, '5': 13}
id_to_char:  {0: '6', 1: '2', 2: '-', 3: '9', 4: ' ', 5: '_', 6: '3', 7: '0', 8: '7', 9: '4', 10: '1', 11: '+', 12: '8', 13: '5'}
| 에폭 1 |  반복 241 / 351 | 시간 10[s] | 손실 1.93
| 에폭 1 |  반복 261 / 351 | 시간 11[s] | 손실 1.93
| 에폭 1 |  반복 281 / 351 | 시간 11[s] | 손실 1.92
| 에폭 1 |  반복 301 / 351 | 시간 12[s] | 손실 1.92
| 에폭 1 |  반복 321 / 351 | 시간 13[s] | 손실 1.92
| 에폭 1 |  반복 341 / 351 | 시간 14[s] | 손실 1.92
검증 정확도 0.080%
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.83
| 에폭 2 |  반복 21 / 351 | 시간 0[s] | 손실 1.83
| 에폭 2 |  반복 41 / 351 | 시간 1[s] | 손실 1.80
| 에폭 2 |  반복 61 / 351 | 시간 2[s] | 손실 1.78
| 에폭 2 |  반복 81 / 351 | 시간 3[s] | 손실 1.76
| 에폭 2 |  반복 101 / 351 | 시간 4[s] | 손실 1.75
| 에폭 2 |  반복 121 / 351 | 시간 5[s] | 손실 1.74
| 에폭 2 |  반복 141 / 351 | 시간 6[s] | 손실 1.73
| 에폭 2 |  반복 161 / 351 | 시간 7[s] | 손실 1.73
| 에폭 2 |  반복 181 / 351 | 시간 8[s] | 손실 1.71
| 에폭 2 |  반복 201 / 351 | 시간 9[s] | 손실 1.71
| 에폭 2 |  반복 221 / 351 | 시간 10[s] | 손실 1.70
| 에폭 2 |  반복 241 / 351 | 시간 11[s] | 손실 1.68
| 에폭 2 |  반복 261 / 351 | 시간 12[s] | 손실 1.69
| 에폭 2 |  반복 281 / 351 | 시간 13[s] | 손실 1.68
| 에폭 2 |  반복 301 / 351 | 시간 14[s] | 손실 1.68
| 에폭 2 |  반복 321 / 351 | 시간 14[s] | 손실 1.67
| 에폭 2 |  반복 341 / 351 | 시간 15[s] | 손실 1.67
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.76
| 에폭 2 |  반복 21 / 351 | 시간 0[s] | 손실 1.77
| 에폭 2 |  반복 41 / 351 | 시간 1[s] | 손실 1.76
| 에폭 2 |  반복 61 / 351 | 시간 2[s] | 손실 1.74
| 에폭 2 |  반복 81 / 351 | 시간 3[s] | 손실 1.72
| 에폭 2 |  반복 101 / 351 | 시간 4[s] | 손실 1.72
| 에폭 2 |  반복 121 / 351 | 시간 5[s] | 손실 1.70
| 에폭 2 |  반복 141 / 351 | 시간 6[s] | 손실 1.69
| 에폭 2 |  반복 161 / 351 | 시간 7[s] | 손실 1.68
| 에폭 2 |  반복 181 / 351 | 시간 8[s] | 손실 1.68
| 에폭 2 |  반복 201 / 351 | 시간 9[s] | 손실 1.68
| 에폭 2 |  반복 221 / 351 | 시간 10[s] | 손실 1.67
| 에폭 2 |  반복 241 / 351 | 시간 11[s] | 손실 1.66
| 에폭 2 |  반복 261 / 351 | 시간 12[s] | 손실 1.66
| 에폭 2 |  반복 281 / 351 | 시간 12[s] | 손실 1.66
| 에폭 2 |  반복 301 / 351 | 시간 13[s] | 손실 1.66
| 에폭 2 |  반복 321 / 351 | 시간 14[s] | 손실 1.63
| 에폭 2 |  반복 341 / 351 | 시간 15[s] | 손실 1.63
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.89
| 에폭 2 |  반복 21 / 351 | 시간 0[s] | 손실 1.90
| 에폭 2 |  반복 41 / 351 | 시간 1[s] | 손실 1.89
| 에폭 2 |  반복 61 / 351 | 시간 2[s] | 손실 1.86
| 에폭 2 |  반복 81 / 351 | 시간 3[s] | 손실 1.84
| 에폭 2 |  반복 101 / 351 | 시간 4[s] | 손실 1.83
| 에폭 2 |  반복 121 / 351 | 시간 5[s] | 손실 1.82
| 에폭 2 |  반복 141 / 351 | 시간 6[s] | 손실 1.81
| 에폭 2 |  반복 161 / 351 | 시간 7[s] | 손실 1.78
| 에폭 2 |  반복 181 / 351 | 시간 8[s] | 손실 1.76
| 에폭 2 |  반복 201 / 351 | 시간 9[s] | 손실 1.75
| 에폭 2 |  반복 221 / 351 | 시간 9[s] | 손실 1.74
| 에폭 2 |  반복 241 / 351 | 시간 10[s] | 손실 1.74
| 에폭 2 |  반복 261 / 351 | 시간 11[s] | 손실 1.73
| 에폭 2 |  반복 281 / 351 | 시간 12[s] | 손실 1.72
| 에폭 2 |  반복 301 / 351 | 시간 13[s] | 손실 1.70
| 에폭 2 |  반복 321 / 351 | 시간 14[s] | 손실 1.70
| 에폭 2 |  반복 341 / 351 | 시간 15[s] | 손실 1.69
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.85
| 에폭 2 |  반복 21 / 351 | 시간 0[s] | 손실 1.87
| 에폭 2 |  반복 41 / 351 | 시간 1[s] | 손실 1.84
| 에폭 2 |  반복 61 / 351 | 시간 2[s] | 손실 1.84
| 에폭 2 |  반복 81 / 351 | 시간 3[s] | 손실 1.84
| 에폭 2 |  반복 101 / 351 | 시간 4[s] | 손실 1.84
| 에폭 2 |  반복 121 / 351 | 시간 5[s] | 손실 1.82
| 에폭 2 |  반복 141 / 351 | 시간 6[s] | 손실 1.79
| 에폭 2 |  반복 161 / 351 | 시간 7[s] | 손실 1.77
| 에폭 2 |  반복 181 / 351 | 시간 8[s] | 손실 1.76
| 에폭 2 |  반복 201 / 351 | 시간 9[s] | 손실 1.75
| 에폭 2 |  반복 221 / 351 | 시간 10[s] | 손실 1.74
| 에폭 2 |  반복 241 / 351 | 시간 10[s] | 손실 1.73
| 에폭 2 |  반복 261 / 351 | 시간 11[s] | 손실 1.72
| 에폭 2 |  반복 281 / 351 | 시간 12[s] | 손실 1.72
| 에폭 2 |  반복 301 / 351 | 시간 13[s] | 손실 1.70
| 에폭 2 |  반복 321 / 351 | 시간 14[s] | 손실 1.69
| 에폭 2 |  반복 341 / 351 | 시간 15[s] | 손실 1.69
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.91
| 에폭 2 |  반복 21 / 351 | 시간 0[s] | 손실 1.91
| 에폭 2 |  반복 41 / 351 | 시간 2[s] | 손실 1.90
| 에폭 2 |  반복 61 / 351 | 시간 3[s] | 손실 1.90
| 에폭 2 |  반복 81 / 351 | 시간 4[s] | 손실 1.90
| 에폭 2 |  반복 101 / 351 | 시간 4[s] | 손실 1.87
| 에폭 2 |  반복 121 / 351 | 시간 5[s] | 손실 1.85
| 에폭 2 |  반복 141 / 351 | 시간 6[s] | 손실 1.84
| 에폭 2 |  반복 161 / 351 | 시간 7[s] | 손실 1.82
| 에폭 2 |  반복 181 / 351 | 시간 8[s] | 손실 1.81
| 에폭 2 |  반복 201 / 351 | 시간 9[s] | 손실 1.78
| 에폭 2 |  반복 221 / 351 | 시간 10[s] | 손실 1.78
| 에폭 2 |  반복 241 / 351 | 시간 11[s] | 손실 1.76
| 에폭 2 |  반복 261 / 351 | 시간 12[s] | 손실 1.74
| 에폭 2 |  반복 281 / 351 | 시간 13[s] | 손실 1.74
| 에폭 2 |  반복 301 / 351 | 시간 13[s] | 손실 1.73
| 에폭 2 |  반복 321 / 351 | 시간 14[s] | 손실 1.72
| 에폭 2 |  반복 341 / 351 | 시간 15[s] | 손실 1.71
검증 정확도 0.260%
| 에폭 3 |  반복 1 / 351 | 시간 0[s] | 손실 1.63
| 에폭 3 |  반복 21 / 351 | 시간 1[s] | 손실 1.65
| 에폭 3 |  반복 41 / 351 | 시간 1[s] | 손실 1.65
| 에폭 3 |  반복 61 / 351 | 시간 2[s] | 손실 1.65
| 에폭 3 |  반복 81 / 351 | 시간 3[s] | 손실 1.65
| 에폭 3 |  반복 101 / 351 | 시간 4[s] | 손실 1.63
| 에폭 3 |  반복 121 / 351 | 시간 5[s] | 손실 1.63
| 에폭 3 |  반복 141 / 351 | 시간 6[s] | 손실 1.62
| 에폭 3 |  반복 161 / 351 | 시간 7[s] | 손실 1.62
| 에폭 3 |  반복 181 / 351 | 시간 8[s] | 손실 1.61
| 에폭 3 |  반복 201 / 351 | 시간 9[s] | 손실 1.60
| 에폭 3 |  반복 221 / 351 | 시간 10[s] | 손실 1.59
| 에폭 3 |  반복 241 / 351 | 시간 11[s] | 손실 1.58
| 에폭 3 |  반복 261 / 351 | 시간 12[s] | 손실 1.57
| 에폭 3 |  반복 281 / 351 | 시간 13[s] | 손실 1.58
| 에폭 3 |  반복 301 / 351 | 시간 14[s] | 손실 1.57
| 에폭 3 |  반복 321 / 351 | 시간 15[s] | 손실 1.56
| 에폭 3 |  반복 341 / 351 | 시간 16[s] | 손실 1.55
| 에폭 3 |  반복 1 / 351 | 시간 0[s] | 손실 1.61
| 에폭 3 |  반복 21 / 351 | 시간 0[s] | 손실 1.62
| 에폭 3 |  반복 41 / 351 | 시간 1[s] | 손실 1.61
| 에폭 3 |  반복 61 / 351 | 시간 2[s] | 손실 1.61
| 에폭 3 |  반복 81 / 351 | 시간 3[s] | 손실 1.60
| 에폭 3 |  반복 101 / 351 | 시간 4[s] | 손실 1.59
| 에폭 3 |  반복 121 / 351 | 시간 5[s] | 손실 1.59
| 에폭 3 |  반복 141 / 351 | 시간 6[s] | 손실 1.58
| 에폭 3 |  반복 161 / 351 | 시간 7[s] | 손실 1.57
| 에폭 3 |  반복 181 / 351 | 시간 8[s] | 손실 1.56
| 에폭 3 |  반복 201 / 351 | 시간 9[s] | 손실 1.56
| 에폭 3 |  반복 221 / 351 | 시간 10[s] | 손실 1.56
| 에폭 3 |  반복 241 / 351 | 시간 11[s] | 손실 1.54
| 에폭 3 |  반복 261 / 351 | 시간 12[s] | 손실 1.53
| 에폭 3 |  반복 281 / 351 | 시간 13[s] | 손실 1.52
| 에폭 3 |  반복 301 / 351 | 시간 14[s] | 손실 1.52
| 에폭 3 |  반복 321 / 351 | 시간 15[s] | 손실 1.51
| 에폭 3 |  반복 341 / 351 | 시간 15[s] | 손실 1.50
| 에폭 3 |  반복 1 / 351 | 시간 0[s] | 손실 1.68
| 에폭 3 |  반복 21 / 351 | 시간 0[s] | 손실 1.68
| 에폭 3 |  반복 41 / 351 | 시간 1[s] | 손실 1.69
| 에폭 3 |  반복 61 / 351 | 시간 2[s] | 손실 1.67
| 에폭 3 |  반복 81 / 351 | 시간 3[s] | 손실 1.67
| 에폭 3 |  반복 101 / 351 | 시간 4[s] | 손실 1.66
| 에폭 3 |  반복 121 / 351 | 시간 5[s] | 손실 1.67
| 에폭 3 |  반복 141 / 351 | 시간 6[s] | 손실 1.65
| 에폭 3 |  반복 161 / 351 | 시간 7[s] | 손실 1.64
| 에폭 3 |  반복 181 / 351 | 시간 8[s] | 손실 1.64
| 에폭 3 |  반복 201 / 351 | 시간 9[s] | 손실 1.65
| 에폭 3 |  반복 221 / 351 | 시간 10[s] | 손실 1.63
| 에폭 3 |  반복 241 / 351 | 시간 11[s] | 손실 1.63
| 에폭 3 |  반복 261 / 351 | 시간 12[s] | 손실 1.61
| 에폭 3 |  반복 281 / 351 | 시간 13[s] | 손실 1.62
| 에폭 3 |  반복 301 / 351 | 시간 14[s] | 손실 1.61
| 에폭 3 |  반복 321 / 351 | 시간 14[s] | 손실 1.59
| 에폭 3 |  반복 341 / 351 | 시간 15[s] | 손실 1.59
| 에폭 3 |  반복 1 / 351 | 시간 0[s] | 손실 1.70
| 에폭 3 |  반복 21 / 351 | 시간 1[s] | 손실 1.68
| 에폭 3 |  반복 41 / 351 | 시간 1[s] | 손실 1.69
| 에폭 3 |  반복 61 / 351 | 시간 2[s] | 손실 1.67
| 에폭 3 |  반복 81 / 351 | 시간 4[s] | 손실 1.66
| 에폭 3 |  반복 101 / 351 | 시간 5[s] | 손실 1.67
| 에폭 3 |  반복 121 / 351 | 시간 6[s] | 손실 1.65
| 에폭 3 |  반복 141 / 351 | 시간 7[s] | 손실 1.65
| 에폭 3 |  반복 161 / 351 | 시간 8[s] | 손실 1.64
| 에폭 3 |  반복 181 / 351 | 시간 8[s] | 손실 1.63
| 에폭 3 |  반복 201 / 351 | 시간 9[s] | 손실 1.62
| 에폭 3 |  반복 221 / 351 | 시간 10[s] | 손실 1.62
| 에폭 3 |  반복 241 / 351 | 시간 11[s] | 손실 1.61
| 에폭 3 |  반복 261 / 351 | 시간 12[s] | 손실 1.60
| 에폭 3 |  반복 281 / 351 | 시간 13[s] | 손실 1.61
| 에폭 3 |  반복 301 / 351 | 시간 14[s] | 손실 1.59
| 에폭 3 |  반복 321 / 351 | 시간 15[s] | 손실 1.59
| 에폭 3 |  반복 341 / 351 | 시간 16[s] | 손실 1.57
| 에폭 3 |  반복 1 / 351 | 시간 0[s] | 손실 1.69
| 에폭 3 |  반복 21 / 351 | 시간 0[s] | 손실 1.70
| 에폭 3 |  반복 41 / 351 | 시간 1[s] | 손실 1.70
| 에폭 3 |  반복 61 / 351 | 시간 2[s] | 손실 1.69
| 에폭 3 |  반복 81 / 351 | 시간 3[s] | 손실 1.69
| 에폭 3 |  반복 101 / 351 | 시간 4[s] | 손실 1.69
| 에폭 3 |  반복 121 / 351 | 시간 5[s] | 손실 1.68
| 에폭 3 |  반복 141 / 351 | 시간 6[s] | 손실 1.67
| 에폭 3 |  반복 161 / 351 | 시간 7[s] | 손실 1.67
| 에폭 3 |  반복 181 / 351 | 시간 8[s] | 손실 1.66
| 에폭 3 |  반복 201 / 351 | 시간 9[s] | 손실 1.65
| 에폭 3 |  반복 221 / 351 | 시간 10[s] | 손실 1.65
| 에폭 3 |  반복 241 / 351 | 시간 11[s] | 손실 1.64
| 에폭 3 |  반복 261 / 351 | 시간 12[s] | 손실 1.65
| 에폭 3 |  반복 281 / 351 | 시간 13[s] | 손실 1.64
| 에폭 3 |  반복 301 / 351 | 시간 13[s] | 손실 1.63
| 에폭 3 |  반복 321 / 351 | 시간 14[s] | 손실 1.62
| 에폭 3 |  반복 341 / 351 | 시간 15[s] | 손실 1.62
검증 정확도 0.300%
| 에폭 4 |  반복 1 / 351 | 시간 0[s] | 손실 1.55
| 에폭 4 |  반복 21 / 351 | 시간 1[s] | 손실 1.55
| 에폭 4 |  반복 41 / 351 | 시간 1[s] | 손실 1.54
| 에폭 4 |  반복 61 / 351 | 시간 2[s] | 손실 1.54
| 에폭 4 |  반복 81 / 351 | 시간 3[s] | 손실 1.52
| 에폭 4 |  반복 101 / 351 | 시간 4[s] | 손실 1.52
| 에폭 4 |  반복 121 / 351 | 시간 5[s] | 손실 1.51
| 에폭 4 |  반복 141 / 351 | 시간 6[s] | 손실 1.50
| 에폭 4 |  반복 161 / 351 | 시간 7[s] | 손실 1.50
| 에폭 4 |  반복 181 / 351 | 시간 8[s] | 손실 1.49
| 에폭 4 |  반복 201 / 351 | 시간 9[s] | 손실 1.49
| 에폭 4 |  반복 221 / 351 | 시간 10[s] | 손실 1.48
| 에폭 4 |  반복 241 / 351 | 시간 11[s] | 손실 1.48
| 에폭 4 |  반복 261 / 351 | 시간 12[s] | 손실 1.47
| 에폭 4 |  반복 281 / 351 | 시간 13[s] | 손실 1.46
| 에폭 4 |  반복 301 / 351 | 시간 14[s] | 손실 1.46
| 에폭 4 |  반복 321 / 351 | 시간 15[s] | 손실 1.46
| 에폭 4 |  반복 341 / 351 | 시간 16[s] | 손실 1.45
| 에폭 4 |  반복 1 / 351 | 시간 0[s] | 손실 1.53
| 에폭 4 |  반복 21 / 351 | 시간 1[s] | 손실 1.49
| 에폭 4 |  반복 41 / 351 | 시간 1[s] | 손실 1.48
| 에폭 4 |  반복 61 / 351 | 시간 2[s] | 손실 1.48
| 에폭 4 |  반복 81 / 351 | 시간 3[s] | 손실 1.48
| 에폭 4 |  반복 101 / 351 | 시간 4[s] | 손실 1.47
| 에폭 4 |  반복 121 / 351 | 시간 5[s] | 손실 1.46
| 에폭 4 |  반복 141 / 351 | 시간 6[s] | 손실 1.45
| 에폭 4 |  반복 161 / 351 | 시간 7[s] | 손실 1.45
| 에폭 4 |  반복 181 / 351 | 시간 8[s] | 손실 1.44
| 에폭 4 |  반복 201 / 351 | 시간 9[s] | 손실 1.44
| 에폭 4 |  반복 221 / 351 | 시간 10[s] | 손실 1.42
| 에폭 4 |  반복 241 / 351 | 시간 11[s] | 손실 1.43
| 에폭 4 |  반복 261 / 351 | 시간 12[s] | 손실 1.42
| 에폭 4 |  반복 281 / 351 | 시간 13[s] | 손실 1.41
| 에폭 4 |  반복 301 / 351 | 시간 14[s] | 손실 1.41
| 에폭 4 |  반복 321 / 351 | 시간 15[s] | 손실 1.40
| 에폭 4 |  반복 341 / 351 | 시간 16[s] | 손실 1.40
| 에폭 4 |  반복 1 / 351 | 시간 0[s] | 손실 1.59
| 에폭 4 |  반복 21 / 351 | 시간 1[s] | 손실 1.57
| 에폭 4 |  반복 41 / 351 | 시간 1[s] | 손실 1.57
| 에폭 4 |  반복 61 / 351 | 시간 2[s] | 손실 1.55
| 에폭 4 |  반복 81 / 351 | 시간 3[s] | 손실 1.55
| 에폭 4 |  반복 101 / 351 | 시간 4[s] | 손실 1.55
| 에폭 4 |  반복 121 / 351 | 시간 5[s] | 손실 1.54
| 에폭 4 |  반복 141 / 351 | 시간 6[s] | 손실 1.53
| 에폭 4 |  반복 161 / 351 | 시간 7[s] | 손실 1.53
| 에폭 4 |  반복 181 / 351 | 시간 8[s] | 손실 1.52
| 에폭 4 |  반복 201 / 351 | 시간 9[s] | 손실 1.52
| 에폭 4 |  반복 221 / 351 | 시간 10[s] | 손실 1.51
| 에폭 4 |  반복 241 / 351 | 시간 11[s] | 손실 1.50
| 에폭 4 |  반복 261 / 351 | 시간 12[s] | 손실 1.49
| 에폭 4 |  반복 281 / 351 | 시간 13[s] | 손실 1.49
| 에폭 4 |  반복 301 / 351 | 시간 14[s] | 손실 1.48
| 에폭 4 |  반복 321 / 351 | 시간 15[s] | 손실 1.47
| 에폭 4 |  반복 341 / 351 | 시간 16[s] | 손실 1.47
| 에폭 4 |  반복 1 / 351 | 시간 0[s] | 손실 1.55
| 에폭 4 |  반복 21 / 351 | 시간 1[s] | 손실 1.57
| 에폭 4 |  반복 41 / 351 | 시간 1[s] | 손실 1.57
| 에폭 4 |  반복 61 / 351 | 시간 2[s] | 손실 1.56
| 에폭 4 |  반복 81 / 351 | 시간 4[s] | 손실 1.55
| 에폭 4 |  반복 101 / 351 | 시간 5[s] | 손실 1.55
| 에폭 4 |  반복 121 / 351 | 시간 6[s] | 손실 1.54
| 에폭 4 |  반복 141 / 351 | 시간 7[s] | 손실 1.53
| 에폭 4 |  반복 161 / 351 | 시간 8[s] | 손실 1.52
| 에폭 4 |  반복 181 / 351 | 시간 9[s] | 손실 1.51
| 에폭 4 |  반복 201 / 351 | 시간 10[s] | 손실 1.51
| 에폭 4 |  반복 221 / 351 | 시간 10[s] | 손실 1.50
| 에폭 4 |  반복 241 / 351 | 시간 11[s] | 손실 1.50
| 에폭 4 |  반복 261 / 351 | 시간 12[s] | 손실 1.49
| 에폭 4 |  반복 281 / 351 | 시간 13[s] | 손실 1.49
| 에폭 4 |  반복 301 / 351 | 시간 14[s] | 손실 1.47
| 에폭 4 |  반복 321 / 351 | 시간 15[s] | 손실 1.47
| 에폭 4 |  반복 341 / 351 | 시간 16[s] | 손실 1.46
| 에폭 4 |  반복 1 / 351 | 시간 0[s] | 손실 1.62
| 에폭 4 |  반복 21 / 351 | 시간 1[s] | 손실 1.61
| 에폭 4 |  반복 41 / 351 | 시간 1[s] | 손실 1.61
| 에폭 4 |  반복 61 / 351 | 시간 2[s] | 손실 1.60
| 에폭 4 |  반복 81 / 351 | 시간 3[s] | 손실 1.59
| 에폭 4 |  반복 101 / 351 | 시간 5[s] | 손실 1.59
| 에폭 4 |  반복 121 / 351 | 시간 6[s] | 손실 1.58
| 에폭 4 |  반복 141 / 351 | 시간 7[s] | 손실 1.58
| 에폭 4 |  반복 161 / 351 | 시간 9[s] | 손실 1.56
| 에폭 4 |  반복 181 / 351 | 시간 10[s] | 손실 1.57
| 에폭 4 |  반복 201 / 351 | 시간 11[s] | 손실 1.56
| 에폭 4 |  반복 221 / 351 | 시간 12[s] | 손실 1.55
| 에폭 4 |  반복 241 / 351 | 시간 13[s] | 손실 1.54
| 에폭 4 |  반복 261 / 351 | 시간 14[s] | 손실 1.54
| 에폭 4 |  반복 281 / 351 | 시간 15[s] | 손실 1.54
| 에폭 4 |  반복 301 / 351 | 시간 16[s] | 손실 1.53
| 에폭 4 |  반복 321 / 351 | 시간 17[s] | 손실 1.52
| 에폭 4 |  반복 341 / 351 | 시간 18[s] | 손실 1.52
검증 정확도 1.120%
| 에폭 5 |  반복 1 / 351 | 시간 0[s] | 손실 1.45
| 에폭 5 |  반복 21 / 351 | 시간 1[s] | 손실 1.43
| 에폭 5 |  반복 41 / 351 | 시간 2[s] | 손실 1.44
| 에폭 5 |  반복 61 / 351 | 시간 2[s] | 손실 1.42
| 에폭 5 |  반복 81 / 351 | 시간 3[s] | 손실 1.42
| 에폭 5 |  반복 101 / 351 | 시간 4[s] | 손실 1.42
